# Model of Gravel et al, including ancient events
14600
0	67627
1	67371
2	67116
3	66862
4	66609
5	66357
6	66106
7	65856
8	65606
9	65358
10	65110
11	64864
12	64618
13	64374
14	64130
15	63887
16	63645
17	63404
18	63164
19	62925
20	62687
21	62450
22	62213
23	61978
24	61743
25	61510
26	61277
27	61045
28	60814
29	60583
30	60354
31	60126
32	59898
33	59671
34	59445
35	59220
36	58996
37	58773
38	58550
39	58329
40	58108
41	57888
42	57669
43	57450
44	57233
45	57016
46	56800
47	56585
48	56371
49	56158
50	55945
51	55733
52	55522
53	55312
54	55103
55	54894
56	54686
57	54479
58	54273
59	54068
60	53863
61	53659
62	53456
63	53254
64	53052
65	52851
66	52651
67	52452
68	52253
69	52055
70	51858
71	51662
72	51466
73	51272
74	51077
75	50884
76	50691
77	50500
78	50308
79	50118
80	49928
81	49739
82	49551
83	49363
84	49176
85	48990
86	48805
87	48620
88	48436
89	48253
90	48070
91	47888
92	47707
93	47526
94	47346
95	47167
96	46988
97	46811
98	46633
99	46457
100	46281
101	46106
102	45931
103	45757
104	45584
105	45412
106	45240
107	45068
108	44898
109	44728
110	44558
111	44390
112	44222
113	44054
114	43888
115	43721
116	43556
117	43391
118	43227
119	43063
120	42900
121	42738
122	42576
123	42415
124	42254
125	42094
126	41935
127	41776
128	41618
129	41460
130	41303
131	41147
132	40991
133	40836
134	40681
135	40527
136	40374
137	40221
138	40069
139	39917
140	39766
141	39616
142	39466
143	39316
144	39167
145	39019
146	38871
147	38724
148	38578
149	38432
150	38286
151	38141
152	37997
153	37853
154	37710
155	37567
156	37425
157	37283
158	37142
159	37001
160	36861
161	36722
162	36583
163	36444
164	36306
165	36169
166	36032
167	35895
168	35760
169	35624
170	35489
171	35355
172	35221
173	35088
174	34955
175	34823
176	34691
177	34559
178	34429
179	34298
180	34168
181	34039
182	33910
183	33782
184	33654
185	33527
186	33400
187	33273
188	33147
189	33022
190	32897
191	32772
192	32648
193	32525
194	32401
195	32279
196	32157
197	32035
198	31914
199	31793
200	31672
201	31552
202	31433
203	31314
204	31195
205	31077
206	30960
207	30843
208	30726
209	30609
210	30494
211	30378
212	30263
213	30149
214	30034
215	29921
216	29807
217	29695
218	29582
219	29470
220	29359
221	29248
222	29137
223	29026
224	28917
225	28807
226	28698
227	28589
228	28481
229	28373
230	28266
231	28159
232	28052
233	27946
234	27840
235	27735
236	27630
237	27525
238	27421
239	27317
240	27214
241	27111
242	27008
243	26906
244	26804
245	26703
246	26602
247	26501
248	26401
249	26301
250	26201
251	26102
252	26003
253	25905
254	25807
255	25709
256	25612
257	25515
258	25418
259	25322
260	25226
261	25130
262	25035
263	24941
264	24846
265	24752
266	24658
267	24565
268	24472
269	24379
270	24287
271	24195
272	24104
273	24012
274	23921
275	23831
276	23741
277	23651
278	23561
279	23472
280	23383
281	23295
282	23206
283	23119
284	23031
285	22944
286	22857
287	22770
288	22684
289	22598
290	22513
291	22428
292	22343
293	22258
294	22174
295	22090
296	22006
297	21923
298	21840
299	21757
300	21675
301	21593
302	21511
303	21430
304	21349
305	21268
306	21187
307	21107
308	21027
309	20948
310	20868
311	20789
312	20711
313	20632
314	20554
315	20476
316	20399
317	20321
318	20245
319	20168
320	20092
321	20016
322	19940
323	19864
324	19789
325	19714
326	19639
327	19565
328	19491
329	19417
330	19344
331	19271
332	19198
333	19125
334	19053
335	18980
336	18909
337	18837
338	18766
339	18695
340	18624
341	18553
342	18483
343	18413
344	18343
345	18274
346	18205
347	18136
348	18067
349	17999
350	17931
351	17863
352	17795
353	17728
354	17661
355	17594
356	17527
357	17461
358	17395
359	17329
360	17263
361	17198
362	17133
363	17068
364	17003
365	16939
366	16875
367	16811
368	16747
369	16684
370	16621
371	16558
372	16495
373	16433
374	16371
375	16309
376	16247
377	16185
378	16124
379	16063
380	16002
381	15942
382	15881
383	15821
384	15761
385	15702
386	15642
387	15583
388	15524
389	15465
390	15407
391	15348
392	15290
393	15232
394	15175
395	15117
396	15060
397	15003
398	14946
399	14890
400	14833
401	14777
402	14721
403	14665
404	14610
405	14555
406	14499
407	14445
408	14390
409	14335
410	14281
411	14227
412	14173
413	14120
414	14066
415	14013
416	13960
417	13907
418	13854
419	13802
420	13750
421	13698
422	13646
423	13594
424	13543
425	13491
426	13440
427	13389
428	13339
429	13288
430	13238
431	13188
432	13138
433	13088
434	13039
435	12989
436	12940
437	12891
438	12842
439	12794
440	12745
441	12697
442	12649
443	12601
444	12553
445	12506
446	12458
447	12411
448	12364
449	12317
450	12271
451	12224
452	12178
453	12132
454	12086
455	12040
456	11995
457	11949
458	11904
459	11859
460	11814
461	11769
462	11725
463	11680
464	11636
465	11592
466	11548
467	11505
468	11461
469	11418
470	11374
